taxon_name	propWS	propNS
Fusobacterium	0.012436277142545	0.661028847084904
Streptococcus	0.825791897002594	0.196840560416774
Lactobacillus	0.00125994560863419	0.00433290569782856
Veillonella	0.160511880246226	0.137797686800493
