id	taxon_name	rank	g1_mean	Run4_P1	Run4_P2	Run4_P3	Run4_P4	Run5_P1	Run5_P2	Run5_P3	Run5_P4	Run4_P1_n_peptide	Run4_P2_n_peptide	Run4_P3_n_peptide	Run4_P4_n_peptide	Run5_P1_n_peptide	Run5_P2_n_peptide	Run5_P3_n_peptide	Run5_P4_n_peptide	Run4_P1_n_samp_children	Run4_P2_n_samp_children	Run4_P3_n_samp_children	Run4_P4_n_samp_children	Run5_P1_n_samp_children	Run5_P2_n_samp_children	Run5_P3_n_samp_children	Run5_P4_n_samp_children
772	Bartonellaceae	family	18.543706415419695	18.239717807319696	18.812086720498872	18.880568532150665	17.894225970756935	14.361347552202279	15.701280223516298	20.436582439681068	16.043615822424602	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
773	Bartonella	genus	18.543706415419695	18.239717807319696	18.812086720498872	18.880568532150665	17.894225970756935	14.361347552202279	15.701280223516298	20.436582439681068	16.043615822424602	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
872	Desulfovibrio	genus	24.893053926286253	24.431058043436174	24.745713628255555	24.63534387573479	24.77581035644217	24.949815459336854	24.945188906794076	25.504958767602208	24.903892762966848	46.0	44.0	43.0	41.0	44.0	45.0	41.0	43.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
881	Desulfovibrio vulgaris	species	24.85916364645798	24.40425733319636	24.715873559161984	24.581927218026255	24.71963725025049	24.92711131175646	24.90856191489994	25.470104086872546	24.890122787593153	44.0	42.0	41.0	39.0	42.0	43.0	39.0	41.0	NA	NA	NA	NA	NA	NA	NA	NA
914	Nitrosomonas	genus	25.193756147589973	24.816163131078607	25.382290016026072	26.127169642605963	24.88454117544478	24.937533028715393	24.71953100352519	25.085055093222287	25.024418983035783	52.0	57.0	54.0	57.0	61.0	53.0	54.0	55.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
915	Nitrosomonas europaea	species	23.815932974967602	23.35869601613691	24.080928505472478	25.334745258345887	23.254666249776033	22.67807463579214	23.038436336067566	23.427669497727223	23.351726959002857	30.0	28.0	26.0	30.0	30.0	29.0	28.0	28.0	NA	NA	NA	NA	NA	NA	NA	NA
942	Anaplasmataceae	family	19.406040124632685	NA	19.841676900333496	19.635406733575387	NA	19.416043728351518	19.12767876743603	19.556441128641165	18.500436173435975	NA	1.0	1.0	NA	1.0	1.0	1.0	1.0	NA	1.0	1.0	NA	1.0	1.0	1.0	1.0
953	Wolbachia	genus	19.406040124632685	NA	19.841676900333496	19.635406733575387	NA	19.416043728351518	19.12767876743603	19.556441128641165	18.500436173435975	NA	1.0	1.0	NA	1.0	1.0	1.0	1.0	NA	1.0	1.0	NA	1.0	1.0	1.0	1.0
1033	Afipia	genus	19.346107053281138	18.242248381354823	17.59489606299002	18.02549917444116	18.945512135525565	20.16970117732451	19.92486642276874	19.485054707002472	20.124559311652483	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1035	Afipia felis	species	19.346107053281138	18.242248381354823	17.59489606299002	18.02549917444116	18.945512135525565	20.16970117732451	19.92486642276874	19.485054707002472	20.124559311652483	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
