uniprot_accession	ups1_amount_fmol	ups2_amount_fmol	go
P01133	5000	5000	GO:0000165,GO:0000186,GO:0000187,GO:0001525,GO:0002092,GO:0002576,GO:0004713,GO:0005088,GO:0005154,GO:0005509,GO:0005576,GO:0005615,GO:0005765,GO:0005886,GO:0007165,GO:0007173,GO:0008083,GO:0008284,GO:0010628,GO:0010800,GO:0016021,GO:0017147,GO:0021940,GO:0030297,GO:0030335,GO:0030665,GO:0031093,GO:0038128,GO:0042059,GO:0042327,GO:0042813,GO:0043235,GO:0043388,GO:0043406,GO:0044332,GO:0045741,GO:0045746,GO:0045840,GO:0045893,GO:0046425,GO:0046934,GO:0048754,GO:0051048,GO:0051897,GO:0060059,GO:0060070,GO:0060749,GO:0061024,GO:0070062,GO:0070371,GO:0090263,GO:0090279,GO:0090370,GO:1900127,GO:1901185,GO:2000008,GO:2000060,GO:2000145
P02144	5000	5000	GO:0001666,GO:0005344,GO:0005829,GO:0007507,GO:0009725,GO:0015671,GO:0019825,GO:0020037,GO:0031444,GO:0042542,GO:0043353,GO:0046872,GO:0050873,GO:0070062
P15559	5000	5000	GO:0003723,GO:0003955,GO:0004128,GO:0004784,GO:0005737,GO:0005829,GO:0006521,GO:0006805,GO:0006809,GO:0007271,GO:0007568,GO:0007584,GO:0009636,GO:0030425,GO:0032355,GO:0042802,GO:0043025,GO:0043066,GO:0043086,GO:0043525,GO:0045471,GO:0051602,GO:0070301,GO:0071248,GO:1901698,GO:1904880
P62937	5000	5000	GO:0000413,GO:0003723,GO:0003755,GO:0005576,GO:0005615,GO:0005634,GO:0005829,GO:0005925,GO:0006278,GO:0006457,GO:0016018,GO:0016020,GO:0019058,GO:0019061,GO:0019064,GO:0019068,GO:0019076,GO:0030260,GO:0031982,GO:0032991,GO:0034389,GO:0034774,GO:0035722,GO:0043312,GO:0045069,GO:0045070,GO:0046790,GO:0050714,GO:0050900,GO:0051082,GO:0070062,GO:0075713,GO:1904813
Q06830	5000	5000	GO:0001501,GO:0001895,GO:0003723,GO:0004601,GO:0005615,GO:0005634,GO:0005737,GO:0005829,GO:0008283,GO:0008379,GO:0019430,GO:0030101,GO:0032872,GO:0034101,GO:0034599,GO:0042267,GO:0042470,GO:0042744,GO:0042802,GO:0043209,GO:0045296,GO:0045454,GO:0070062,GO:1901222
P63165	5000	5000	GO:0000122,GO:0000792,GO:0001222,GO:0001650,GO:0001741,GO:0003723,GO:0005634,GO:0005635,GO:0005643,GO:0005654,GO:0005730,GO:0005829,GO:0005886,GO:0006281,GO:0006303,GO:0008022,GO:0008134,GO:0015459,GO:0016032,GO:0016604,GO:0016605,GO:0016607,GO:0016925,GO:0019789,GO:0019899,GO:0030425,GO:0030578,GO:0030674,GO:0031334,GO:0031386,GO:0031510,GO:0031625,GO:0031965,GO:0032436,GO:0032880,GO:0034605,GO:0035259,GO:0043392,GO:0043433,GO:0044388,GO:0045202,GO:0045759,GO:0045892,GO:0050821,GO:0060021,GO:0060334,GO:0071276,GO:0086004,GO:0090204,GO:0097165,GO:1901896,GO:1902260
P00709	5000	500	GO:0000139,GO:0003796,GO:0004461,GO:0005509,GO:0005615,GO:0005796,GO:0005989,GO:0006915,GO:0007165,GO:0007267,GO:0016998,GO:0042742,GO:0050829,GO:0050830
P06732	5000	500	GO:0004111,GO:0005524,GO:0005829,GO:0006600,GO:0046314
P12081	5000	500	GO:0004821,GO:0005524,GO:0005737,GO:0005739,GO:0005829,GO:0006412,GO:0006418,GO:0006427,GO:0032543,GO:0042802
P61626	5000	500	GO:0001895,GO:0003796,GO:0005576,GO:0005615,GO:0006954,GO:0016998,GO:0019730,GO:0019835,GO:0031640,GO:0035578,GO:0035580,GO:0042742,GO:0042802,GO:0043312,GO:0044267,GO:0050829,GO:0050830,GO:0070062,GO:1904724
